編號,股票代號,ETF名稱,上市日期,標的指數,資產規模(億元),yfinance代碼,2020起總報酬率(%)
1,0050,元大台灣50,2003/6/30,富時臺灣證券交易所臺灣50指數,5329,0050.TW,160.78
2,0052,富邦科技,2006/9/12,臺灣證券交易所臺灣資訊科技指數,144,0052.TW,279.94
3,0056,元大高股息,2007/12/26,臺灣高股息指數,4467,0056.TW,194.43
4,006208,富邦台50,2012/7/17,富時臺灣證券交易所臺灣50指數,2257,006208.TW,155.47
5,00631L,元大台灣50正2,2014/10/31,臺灣50指數,594,00631L.TW,255.88
6,00632R,元大台灣50反1,2014/10/31,臺灣50指數,448,00632R.TW,133.94
7,00633L,富邦上証正2,2014/11/25,上証180兩倍槓桿指數,100,00633L.TW,-27.24
8,00637L,元大滬深300正2,2015/5/18,滬深300日報酬正向兩倍指數(CSI300 Daily Return Leveraged 2X Index),278,00637L.TW,-24.58
9,00646,元大S&P500,2015/12/14,標普指數(S&P 500R),315,00646.TW,85.05
10,00662,富邦NASDAQ,2016/6/17,NASDAQ-100指數,514,00662.TW,140.46
11,00665L,富邦恒生國企正2,2016/8/5,恒生國企槓桿指數,64,00665L.TW,-66.47
12,00670L,富邦NASDAQ正2,2017/2/21,NASDAQ-100正向2倍指數,109,00670L.TW,175.47
13,00675L,富邦臺灣加權正2,2016/10/5,臺灣證券交易所發行量加權股價日報酬正向兩倍指數,172,00675L.TW,266.78
14,00680L,元大美債20正2,2017/1/17,ICE美國政府20+年期債券2倍槓桿指數(ICE U.S. Treasury 20+ Year Bond 2X Leveraged Index),249,00680L.TW,-71.68
15,00688L,國泰20年美債正2,2017/4/13,彭博20年期(以上)美國公債單日正向2倍指數,110,00688L.TW,-72.01
16,00692,富邦公司治理,2017/5/17,臺灣證券交易所公司治理100 指數,301,00692.TW,183.36
17,00701,國泰股利精選30,2017/8/17,臺灣指數公司低波動股利精選30指數,59,00701.TW,142.57
18,00706L,期元大S&P日圓正2,2017/9/1,標普日圓期貨日報酬正向2倍ER指數(S&P Japanese Yen Futures 2x Leverage Daily ER Index),53,00706L.TW,-63.04
19,00711B,復華彭博新興債(原簡稱:FH彭博新興債),2017/8/21,彭博新興市場10年期以上美元投資等級債券(不含中國)國家10%上限指數(Bloomberg EM USD ex China Investment Grade 10 year 10% Country Capped Index),145,00711B.TW,2.81
20,00712,復華富時不動產(原簡稱:FH富時不動產),2017/8/21,富時NAREIT抵押權型不動產投資信託指數(FTSE NAREIT Mortgage REITs Index),334,00712.TW,11.22
21,00713,元大台灣高息低波,2017/9/27,臺灣指數公司特選高股息低波動指數,1483,00713.TW,270.94
22,00715L,期街口布蘭特正2,2017/11/16,標普高盛布蘭特原油日報酬正向兩倍ER指數(S&P GSCI Brent Crude 2X leveraged ER Index),88,00715L.TW,-60.04
23,00733,富邦臺灣中小,2018/5/17,臺灣指數公司中小型A級動能50指數,69,00733.TW,215.17
24,00752,中信中國50,2018/10/31,MSCI 中國外資自由投資50不含A及B股指數,80,00752.TW,-8.41
25,00753L,中信中國50正2,2018/10/31,MSCI中國外資自由投資50不含A及B股單日正向2倍指數,95,00753L.TW,-65.72
26,00757,統一FANG+,2018/12/6,NYSE FANG+ Index,508,00757.TW,317.1
27,00770,國泰北美科技,2019/1/29,標普北美科技行業指數,57,00770.TW,276.46
28,00775B,新光投等債15+,2019/2/15,富時15年期以上投資等級債券指數,68,00775B.TW,-1.44
29,00830,國泰費城半導體,2019/5/3,美國費城半導體指數,385,00830.TW,236.98
30,00850,元大臺灣ESG永續,2019/8/23,臺灣永續指數(FTSE4Good TIP Taiwan ESG Index),195,00850.TW,189.28
